,infobits,field,ccdid,qid,rcid,fid,filtercode,rfid,nframes,maglimit,startobsdate,endobsdate,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid,meta_id
0,16,1500,5,3,18,1,zg,1500120118,15,22.3260002,2018-09-23 08:26:24.673+00,2019-09-08 11:23:50.356+00,1600.5,1600.5,52.3491937,6.7544177,0.0002777757250039,-1.067907130667e-06,-1.067907130667e-06,-0.0002777757250039,52.3491937,6.7544177,51.90296437,7.20034241,52.79886401,7.19692207,52.79460077,6.30808783,51.90034566,6.31150189,2019-12-11 00:00:00+00,-1,250901928
1,16,1500,8,3,30,1,zg,1500120130,15,22.2233009,2018-09-23 08:26:24.673+00,2019-09-08 11:23:50.356+00,1600.5,1600.5,46.740863,6.7431386,0.0002777605642134,3.09237690958e-06,3.09237690958e-06,-0.0002777605642134,46.740863,6.7431386,46.28796687,7.18237704,47.18379521,7.19228142,47.19293845,6.30348348,46.29875147,6.29359724,2019-12-11 00:00:00+00,-1,250903538
2,16,1500,3,4,11,1,zg,1500120111,15,22.1082993,2018-09-23 08:26:24.673+00,2019-09-08 11:23:50.356+00,1600.5,1600.5,49.486954,4.8392716,0.0002777776181864,2.9776135519850003e-07,2.9776135519850003e-07,-0.0002777776181864,49.486954,4.8392716,49.04015764,5.28307076,49.93279417,5.28402419,49.93316455,4.39517995,49.04169964,4.39422777,2019-12-11 00:00:00+00,-1,250831935
3,16,1500,2,3,6,2,zr,1500120206,15,21.5160999,2018-08-26 09:14:31.263+00,2018-12-05 05:39:55.086+00,1600.5,1600.5,50.4756942,4.8522107,0.0002777776884226,2.228043450959e-07,2.228043450959e-07,-0.0002777776884226,50.4756942,4.8522107,50.02900874,5.29612958,50.92166417,5.29684301,50.92179226,4.40799869,50.03031163,4.40728621,2019-05-08 00:00:00+00,-1,143080130
4,16,1500,3,1,8,2,zr,1500120208,16,21.5226994,2018-08-26 09:14:31.263+00,2018-12-05 05:39:55.086+00,1600.5,1600.5,49.4827782,5.7142389,0.000277777525335,3.74494214527e-07,3.74494214527e-07,-0.000277777525335,49.4827782,5.7142389,49.03517458,6.1578884,49.92917753,6.15908768,49.92968846,5.2702435,49.03707223,5.26904609,2019-05-08 00:00:00+00,-1,144996069
5,16,1500,2,2,5,1,zg,1500120105,15,22.2206001,2018-09-23 08:26:24.673+00,2019-09-08 11:23:50.356+00,1600.5,1600.5,50.4783388,5.7073883,0.000277777729351,1.640236095023e-07,1.640236095023e-07,-0.000277777729351,50.4783388,5.7073883,50.03107903,6.15137534,50.92507111,6.15190061,50.92490606,5.2630563,50.032299,5.26253185,2019-12-11 00:00:00+00,-1,250902056
6,16,1500,2,3,6,1,zg,1500120106,15,22.1378002,2018-09-23 08:26:24.673+00,2019-09-08 11:23:50.356+00,1600.5,1600.5,50.4789668,4.8407801,0.0002777776953172,2.140360075705e-07,2.140360075705e-07,-0.0002777776953172,50.4789668,4.8407801,50.03230366,5.28471338,50.92494262,5.28539873,50.92504394,4.39655441,50.03357698,4.39586997,2019-12-11 00:00:00+00,-1,250902279
7,0,1500,2,2,5,2,zr,1500120205,15,21.6224003,2018-08-26 09:14:31.263+00,2018-12-30 04:55:19.278+00,1600.5,1600.5,50.4750829,5.7187255,0.0002777777217848,1.763722964548e-07,1.763722964548e-07,-0.0002777777217848,50.4750829,5.7187255,50.02779374,6.16269241,50.92180488,6.16325723,50.92167815,5.27441291,50.02905483,5.27384898,2019-05-08 00:00:00+00,-1,154663429
8,16,1500,2,4,7,2,zr,1500120207,15,21.6021004,2018-08-26 09:14:31.263+00,2018-12-05 05:39:55.086+00,1600.5,1600.5,51.3431047,4.8496754,0.0002777776805623,-2.323973501835e-07,-2.323973501835e-07,-0.0002777776805623,51.3431047,4.8496754,50.89715198,5.29432313,51.78980372,5.29357899,51.78847034,4.40473566,50.89699277,4.40547882,2019-05-08 00:00:00+00,-1,143079625
9,0,1500,1,4,3,1,zg,1500120103,15,21.7691994,2018-09-23 08:26:24.673+00,2019-09-17 10:45:20.664+00,1600.5,1600.5,53.2211796,4.8330483,0.0002777709006686,-1.95462754952e-06,-1.95462754952e-06,-0.0002777709006686,53.2211796,4.8330483,52.778015,5.28044298,53.67062094,5.27418426,53.66375921,4.38536623,52.77232325,4.39161675,2019-12-11 00:00:00+00,-1,256274520
