,infobits,field,ccdid,qid,rcid,fid,filtercode,rfid,nframes,maglimit,startobsdate,endobsdate,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid,meta_id
0,0,478,9,1,32,2,zr,478120232,15,22.1056004,2018-03-09 11:00:17+00,2018-05-08 06:03:23.864+00,1600.5,1600.5,222.8405282,5.9481253,0.0002777735072018,-1.540299955221e-06,-1.540299955221e-06,-0.0002777735072018,222.8405282,5.9481253,222.39581018,6.39482729,223.29020156,6.38989449,223.28452403,5.50106811,222.39157704,5.50599294,2019-05-08 00:00:00+00,-1,44885450
1,0,478,9,1,32,1,zg,478120132,15,22.3157997,2018-03-25 08:32:05+00,2018-08-07 04:06:27.433+00,1600.5,1600.5,222.8420318,5.954128,0.0002777734790761,-1.545363756011e-06,-1.545363756011e-06,-0.0002777734790761,222.8420318,5.954128,222.39731674,6.40083787,223.29171854,6.39588886,223.28602392,5.50706258,222.393068,5.5120036,2019-05-08 00:00:00+00,-1,79778701
2,0,478,9,4,35,1,zg,478120135,22,22.0839996,2018-03-25 08:32:05+00,2018-08-18 03:39:12.772+00,1600.5,1600.5,222.8385387,5.0765659,0.0002777736773297,-1.509307737989e-06,-1.509307737989e-06,-0.0002777736773297,222.8385387,5.0765659,222.3944762,5.52324475,223.28744971,5.51841178,223.28198633,4.62958412,222.39024256,4.63441044,2019-05-08 00:00:00+00,-1,139574275
3,16,478,13,4,51,1,zg,478120151,22,22.1068001,2018-03-25 08:32:05+00,2018-08-18 03:39:12.772+00,1600.5,1600.5,222.8510964,6.9903183,0.0002777701616939,-2.05696371602e-06,-2.05696371602e-06,-0.0002777701616939,222.8510964,6.9903183,222.4062343,7.437810899999999,223.30258967,7.43122255,223.29510688,6.54240926,222.40045475,6.54898509,2019-05-08 00:00:00+00,-1,139574600
4,16,478,13,1,48,1,zg,478120148,22,21.9902,2018-03-25 08:32:05+00,2018-08-18 03:39:12.772+00,1600.5,1600.5,222.8576056,7.8565372,0.0002777700774651,-2.068306588992e-06,-2.068306588992e-06,-0.0002777700774651,222.8576056,7.8565372,222.4118312,8.30402167,223.31006087,8.297396199999998,223.3024197,7.408584109999999,222.40611062,7.41519541,2019-05-08 00:00:00+00,-1,139574524
5,16,478,13,4,51,3,zi,478120351,15,21.1070004,2018-05-05 08:30:57.785+00,2019-05-24 10:07:47.828+00,1600.5,1600.5,222.8541382,6.9838068,0.0002777701155635,-2.063183704488e-06,-2.063183704488e-06,-0.0002777701155635,222.8541382,6.9838068,222.4092928,7.43130948,223.30563473,7.42470122,223.29813279,6.53588809,222.40349248,6.54248381,2019-12-11 00:00:00+00,-1,197854568
6,0,478,13,4,51,2,zr,478120251,15,22.0625992,2018-03-09 11:00:17+00,2018-06-04 07:35:18.741+00,1600.5,1600.5,222.8488695,6.9960346,0.0002777702794956,-2.04099390303e-06,-2.04099390303e-06,-0.0002777702794956,222.8488695,6.9960346,222.40397567,7.44350164,223.30034309,7.436964439999999,223.29291099,6.54815073,222.39824824,6.5546755,2019-05-08 00:00:00+00,-1,52868298
7,16,478,11,3,42,1,zg,478120142,21,22.0832005,2018-03-25 08:32:05+00,2018-08-18 03:39:12.772+00,1600.5,1600.5,218.2467078,5.0921818,0.000277777289041,5.210759844125001e-07,5.210759844125001e-07,-0.000277777289041,218.2467078,5.0921818,217.79936647,5.5356152,218.69237518,5.53728375,218.69343231,4.64844005,217.80165724,4.64677381,2019-05-08 00:00:00+00,-1,139574754
8,0,478,3,3,10,2,zr,478120210,15,21.9461002,2018-03-09 11:00:17+00,2018-09-03 03:16:49.751+00,1600.5,1600.5,218.2439211,1.2640982,0.0002777775028577,-3.9081108829430003e-07,-3.9081108829430003e-07,-0.0002777775028577,218.2439211,1.2640982,217.79992714,1.70910726,218.68916589,1.70785649,218.68776289,0.81901328,217.79882849,0.8202636199999999,2019-05-08 00:00:00+00,-1,97775539
9,16,478,7,3,26,1,zg,478120126,20,22.0611,2018-03-25 08:32:05+00,2018-08-18 03:39:12.772+00,1600.5,1600.5,218.2466616,3.1765909,0.0002777773545779,4.848822784097001e-07,4.848822784097001e-07,-0.0002777773545779,218.2466616,3.1765909,217.80057419,3.62014056,218.6911951,3.6216928,218.69236578,2.73284925,217.80251134,2.73129834,2019-05-08 00:00:00+00,-1,139574198
