,infobits,field,ccdid,qid,rcid,fid,filtercode,rfid,nframes,maglimit,startobsdate,endobsdate,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid,meta_id
0,0,366,3,3,10,2,zr,366120210,21,21.7355995,2018-03-05 07:51:49+00,2018-11-27 12:16:10.08+00,1600.5,1600.5,151.9703984,-13.1434025,0.0002777740350479,-1.441970976891e-06,-1.441970976891e-06,-0.0002777740350479,151.9703984,-13.1434025,151.51720805,-12.69628165,152.42832688,-12.70088747,152.42524193,-13.58972671,151.51081675,-13.58510418,2019-05-08 00:00:00+00,-1,139546010
1,0,366,3,3,10,3,zi,366120310,15,21.2141991,2020-12-16 11:31:17.775+00,2022-02-20 08:03:55.215+00,1600.5,1600.5,152.005506,-13.1391144,0.0002777739884148,-1.450926333792e-06,-1.450926333792e-06,-0.0002777739884148,152.005506,-13.1391144,151.55233807,-12.69197946,152.46344139,-12.69661388,152.46032652,-13.58545303,151.54591802,-13.58080179,2020-12-09 00:00:00+00,-1,663400362
2,0,366,3,2,9,2,zr,366120209,21,21.7378998,2018-03-05 07:51:49+00,2018-11-27 12:16:10.08+00,1600.5,1600.5,151.9748751,-12.276668,0.0002777740208403,-1.44470528914e-06,-1.44470528914e-06,-0.0002777740208403,151.9748751,-12.276668,151.52317692,-11.82956983,152.43130422,-11.83418495,152.42810866,-12.72302379,151.51691061,-12.71839306,2019-05-08 00:00:00+00,-1,139545994
3,16,366,3,2,9,1,zg,366120109,15,21.6357994,2018-03-27 05:11:40+00,2018-11-28 11:34:36.206+00,1600.5,1600.5,151.9758434,-12.2804102,0.0002777741938774,-1.411043180765e-06,-1.411043180765e-06,-0.0002777741938774,151.9758434,-12.2804102,151.52408365,-11.8333654,152.43222393,-11.83787299,152.42913904,-12.7267122,151.51792699,-12.72218937,2019-05-08 00:00:00+00,-1,140488823
4,16,366,3,1,8,1,zg,366120108,20,21.4202995,2018-03-27 05:11:40+00,2018-12-12 12:30:06.295+00,1600.5,1600.5,152.8603422,-12.2830493,0.0002777773851571,-4.670358281953e-07,-4.670358281953e-07,-0.0002777773851571,152.8603422,-12.2830493,152.4070272,-11.83750713,153.31518663,-11.83899908,153.31519352,-12.7278434,152.40396146,-12.72634641,2019-05-08 00:00:00+00,-1,144992508
5,0,366,2,3,6,3,zi,366120306,15,21.2455997,2020-12-16 11:31:17.775+00,2021-04-19 05:51:33.291+00,1600.5,1600.5,153.9073655,-13.141109,0.0002777764682952,8.529294296432e-07,8.529294296432e-07,-0.0002777764682952,153.9073655,-13.141109,153.45040493,-12.69764942,154.36152348,-12.69492506,154.36597899,-13.58375879,153.4515546,-13.58649303,2020-12-09 00:00:00+00,-1,558002231
6,16,366,3,4,11,1,zg,366120111,15,21.6338997,2018-03-27 05:11:40+00,2018-11-28 11:34:36.206+00,1600.5,1600.5,152.859042,-13.1505686,0.0002777772975956,-5.164954727420001e-07,-5.164954727420001e-07,-0.0002777772975956,152.859042,-13.1505686,152.40431301,-12.70492034,153.31546817,-12.70657009,153.31542523,-13.59541441,152.40096159,-13.59375867,2019-05-08 00:00:00+00,-1,139692815
7,0,366,3,2,9,3,zi,366120309,15,21.1660004,2020-12-06 12:35:25.217+00,2021-04-03 04:51:49.031+00,1600.5,1600.5,152.0101321,-12.2704926,0.0002777739816176,-1.452227071139e-06,-1.452227071139e-06,-0.0002777739816176,152.0101321,-12.2704926,151.5584565,-11.82338267,152.46656316,-11.82802182,152.46334225,-12.71686057,151.55216649,-12.71220574,2020-12-09 00:00:00+00,-1,548677937
8,16,366,2,3,6,1,zg,366120106,15,21.6135998,2018-03-27 05:11:40+00,2018-11-28 11:34:36.206+00,1600.5,1600.5,153.87436,-13.1497962,0.0002777763135131,9.019302734976e-07,9.019302734976e-07,-0.0002777763135131,153.87436,-13.1497962,153.41730356,-12.70641485,154.32845274,-12.70353398,154.33307054,-13.59236693,153.41861315,-13.59525825,2019-05-08 00:00:00+00,-1,140346093
9,0,366,3,4,11,3,zi,366120311,15,21.2084999,2020-12-16 11:31:17.775+00,2022-02-17 09:24:48.694+00,1600.5,1600.5,152.8936007,-13.1421395,0.0002777771828694,-5.748950463432001e-07,-5.748950463432001e-07,-0.0002777771828694,152.8936007,-13.1421395,152.43898292,-12.69639842,153.3501075,-12.6982347,153.34987156,-13.587079,152.43544083,-13.58523605,2020-12-09 00:00:00+00,-1,661273817
10,16,366,3,3,10,1,zg,366120110,15,21.6135998,2018-03-27 05:11:40+00,2018-11-28 11:34:36.206+00,1600.5,1600.5,151.9714373,-13.1472225,0.0002777742381823,-1.402294345257e-06,-1.402294345257e-06,-0.0002777742381823,151.9714373,-13.1472225,151.51817462,-12.70016457,152.4293078,-12.70464366,152.42635369,-13.59348332,151.51191309,-13.58898798,2019-05-08 00:00:00+00,-1,140475612
