,infobits,field,ccdid,qid,rcid,fid,filtercode,rfid,nframes,maglimit,startobsdate,endobsdate,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid,meta_id
0,16,1404,11,4,43,1,zg,1404120143,15,21.8122997,2018-11-08 09:26:08.051+00,2020-12-17 08:58:51.568+00,1600.5,1600.5,105.0371831,-5.7144477,0.0002777772985229,5.159966003256001e-07,5.159966003256001e-07,-0.0002777772985229,105.0371831,-5.7144477,104.59004553,-5.27067888,105.48266134,-5.26902902,105.48501405,-6.15787026,104.59101148,-6.15952268,2020-12-09 00:00:00+00,-1,497855950
1,16,1404,11,1,40,1,zg,1404120140,15,21.8624001,2018-11-08 09:26:08.051+00,2020-12-17 08:58:51.568+00,1600.5,1600.5,105.0355427,-4.8477467,0.0002777772344565,5.494040800126e-07,5.494040800126e-07,-0.0002777772344565,105.0355427,-4.8477467,104.58892364,-4.40405776,105.48039747,-4.40230087,105.48274861,-5.29114211,104.59010109,-5.2929013,2020-12-09 00:00:00+00,-1,497855881
2,0,1404,11,3,42,2,zr,1404120242,15,21.4211998,2018-11-10 09:28:41.225+00,2020-10-07 12:17:38.202+00,1600.5,1600.5,104.1519487,-5.7352946,0.0002777777462537,1.323381310852e-07,1.323381310852e-07,-0.0002777777462537,104.1519487,-5.7352946,103.70541228,-5.29091107,104.59805954,-5.29048793,104.59918108,-6.17933155,103.70514191,-6.17975535,2020-12-09 00:00:00+00,-1,456328146
3,16,1404,16,3,62,1,zg,1404120162,16,21.7733994,2018-11-08 09:26:08.051+00,2021-01-02 08:23:07.831+00,1600.5,1600.5,102.3084571,-3.8006535,0.0002777775348678,-3.6735533943750004e-07,-3.6735533943750004e-07,-0.0002777775348678,102.3084571,-3.8006535,101.86386083,-3.35552983,102.75423143,-3.35670473,102.7535124,-4.24554876,101.86222374,-4.24437265,2020-12-09 00:00:00+00,-1,505233391
4,0,1404,7,3,26,2,zr,1404120226,16,21.3486004,2018-11-10 09:28:41.225+00,2020-01-25 05:54:23.739+00,1600.5,1600.5,104.150209,-7.6516798,0.0002777775920681,3.212040213783e-07,3.212040213783e-07,-0.0002777775920681,104.150209,-7.6516798,103.70172936,-7.20753998,104.59765162,-7.206513229999999,104.59962324,-8.0953554,103.70183178,-8.096384289999998,2020-06-24 00:00:00+00,-1,327436848
5,0,1404,2,3,6,1,zg,1404120106,16,21.7250996,2018-11-08 09:26:08.051+00,2021-01-02 08:23:07.831+00,1600.5,1600.5,106.043237,-9.5456658,0.0002777759897623,9.966637675626e-07,9.966637675626e-07,-0.0002777759897623,106.043237,-9.5456658,105.59153458,-9.10254955,106.49170552,-9.09936448,106.4961151,-9.98819816,105.5935928,-9.99139156,2020-12-09 00:00:00+00,-1,505233418
6,0,1404,4,1,12,2,zr,1404120212,15,21.3407993,2018-11-10 09:28:41.225+00,2020-01-25 05:54:23.739+00,1600.5,1600.5,103.1423657,-8.6975966,0.0002777759722831,-1.001523508468e-06,-1.001523508468e-06,-0.0002777759722831,103.1423657,-8.6975966,102.69491678,-8.25131346,103.59305658,-8.254514439999998,103.59088161,-9.14335616,102.69060784,-9.14014758,2020-06-24 00:00:00+00,-1,327436867
7,0,1404,4,4,15,2,zr,1404120215,16,21.3341999,2018-11-10 09:28:41.225+00,2020-10-12 11:45:04.043+00,1600.5,1600.5,103.1447268,-9.5591698,0.0002777756862447,-1.077941729384e-06,-1.077941729384e-06,-0.0002777756862447,103.1447268,-9.5591698,102.69637369,-9.11273868,103.59657767,-9.11618349,103.59425732,-10.00502486,102.69169852,-10.00157105,2020-12-09 00:00:00+00,-1,458169492
8,0,1404,8,4,31,2,zr,1404120231,15,21.3344002,2018-11-10 09:28:41.225+00,2020-01-25 05:54:23.739+00,1600.5,1600.5,103.1454121,-7.6501187,0.0002777777206457,-1.7815738006520002e-07,-1.7815738006520002e-07,-0.0002777777206457,103.1454121,-7.6501187,102.6977399,-7.2051806,103.59365949,-7.20575009,103.59401871,-8.09459434,102.69623031,-8.094023659999998,2020-06-24 00:00:00+00,-1,327437010
9,0,1404,8,4,31,1,zg,1404120131,15,21.8875008,2018-11-08 09:26:08.051+00,2020-12-17 08:58:51.568+00,1600.5,1600.5,103.1618951,-7.6305729,0.0002777777192766,-1.802794091058e-07,-1.802794091058e-07,-0.0002777777192766,103.1618951,-7.6305729,102.71424561,-7.18563201,103.61012661,-7.18620828,103.61047654,-8.075052539999998,102.71273165,-8.07447506,2020-12-09 00:00:00+00,-1,497856219
