,infobits,field,ccdid,qid,rcid,fid,filtercode,rfid,nframes,maglimit,startobsdate,endobsdate,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid,meta_id
0,16,292,7,4,27,3,zi,292120327,15,21.1791,2018-08-03 09:03:18.303+00,2019-08-08 09:03:08.945+00,1600.5,1600.5,345.8196985,-25.6480981,0.0002777764979664,-8.432108998864e-07,-8.432108998864e-07,-0.0002777764979664,345.8196985,-25.6480981,345.33001654,-25.20150934,346.3123734,-25.2041975,346.31305275,-26.09304161,345.32335132,-26.09033335,2019-12-11 00:00:00+00,-1,233727231
1,0,292,7,3,26,1,zg,292120126,15,21.7254009,2018-07-08 11:00:55.914+00,2018-11-03 04:29:42.329+00,1600.5,1600.5,344.8585676,-25.6099622,0.000277764039688,-2.76262255351e-06,-2.76262255351e-06,-0.000277764039688,344.8585676,-25.6099622,344.37246598,-25.16033519,345.35447188,-25.16914251,345.34833342,-26.0579696,344.35899913,-26.04909655,2019-05-08 00:00:00+00,-1,126396592
2,0,292,7,2,25,2,zr,292120225,15,21.8476009,2018-07-11 10:31:00.95+00,2018-11-10 03:01:46.245+00,1600.5,1600.5,344.8700178,-24.7500827,0.0002777635868427,-2.807784071215e-06,-2.807784071215e-06,-0.0002777635868427,344.8700178,-24.7500827,344.38734512,-24.30041515,345.36258335,-24.30936772,345.35618979,-25.19819308,344.37395295,-25.18917626,2019-05-08 00:00:00+00,-1,131368600
3,0,292,8,1,28,1,zg,292120128,15,21.7392998,2018-07-08 11:00:55.914+00,2018-11-01 05:06:50.915+00,1600.5,1600.5,343.7717109,-24.7276908,0.0002777383115055,-4.682323054596e-06,-4.682323054596e-06,-0.0002777383115055,343.7717109,-24.7276908,343.292469,-24.275076,344.26744742,-24.29000556,344.25444662,-25.17877145,343.27248058,-25.16373486,2019-05-08 00:00:00+00,-1,125276728
4,0,292,6,4,23,1,zg,292120123,15,21.7542992,2018-07-08 11:00:55.914+00,2018-11-03 04:29:42.329+00,1600.5,1600.5,347.8693157,-25.6128688,0.0002777602500677,3.120466227259e-06,3.120466227259e-06,-0.0002777602500677,347.8693157,-25.6128688,347.37277134,-25.17262547,348.35478739,-25.16267734,348.36952462,-26.05142231,347.38017944,-26.0614447,2019-05-08 00:00:00+00,-1,126396408
5,16,292,8,2,29,3,zi,292120329,15,21.1567001,2018-08-03 09:03:18.303+00,2019-09-08 07:12:21.895+00,1600.5,1600.5,342.8221005,-24.7416343,0.0002776979704731,-6.658154566019e-06,-6.658154566019e-06,-0.0002776979704731,342.8221005,-24.7416343,342.3463566,-24.28593359,343.32130198,-24.30716304,343.30133882,-25.19582247,342.31940462,-25.17444074,2019-12-11 00:00:00+00,-1,250901352
6,16,292,12,4,47,3,zi,292120347,15,21.1580009,2018-08-03 09:03:18.303+00,2019-09-01 08:53:05.582+00,1600.5,1600.5,343.801493,-23.7098378,0.00027774104134,-4.517497374048e-06,-4.517497374048e-06,-0.00027774104134,343.801493,-23.7098378,343.32569281,-23.25751677,344.29308054,-23.27192318,344.28059858,-24.16069404,343.30660009,-24.14618916,2019-12-11 00:00:00+00,-1,247648742
7,0,292,12,4,47,1,zg,292120147,15,21.8330002,2018-07-08 11:00:55.914+00,2018-11-03 04:29:42.329+00,1600.5,1600.5,343.7999905,-23.6912279,0.0002777409474859,-4.523263953887e-06,-4.523263953887e-06,-0.0002777409474859,343.7999905,-23.6912279,343.32426693,-23.23889847,344.29151932,-23.25332331,344.27901606,-24.14209389,343.30515971,-24.12757055,2019-05-08 00:00:00+00,-1,126396583
8,0,292,12,2,45,1,zg,292120145,16,21.7924004,2018-07-05 11:01:16.516+00,2018-11-01 05:06:50.915+00,1600.5,1600.5,342.8760713,-22.8168173,0.0002777075520247,-6.245748599086e-06,-6.245748599086e-06,-0.0002777075520247,342.8760713,-22.8168173,342.40643706,-22.36182432,343.3673869,-22.38174502,343.34884927,-23.27042512,342.381612,-23.25037402,2019-05-08 00:00:00+00,-1,125278201
9,16,292,7,1,24,3,zi,292120324,15,21.0925007,2018-08-03 09:03:18.303+00,2019-09-01 08:53:05.582+00,1600.5,1600.5,345.8227902,-24.7790913,0.0002777766488253,-7.919561347904999e-07,-7.919561347904999e-07,-0.0002777766488253,345.8227902,-24.7790913,345.33643232,-24.33261552,346.31193909,-24.33514065,346.31265353,-25.22398473,345.33013586,-25.22144146,2019-12-11 00:00:00+00,-1,247648769
