,infobits,field,ccdid,qid,rcid,fid,filtercode,rfid,nframes,maglimit,startobsdate,endobsdate,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid,meta_id
0,16,324,15,3,58,2,zr,324120258,17,21.4916,2018-03-21 09:00:59+00,2018-12-13 13:33:45.563+00,1600.5,1600.5,211.9343816,-14.5890554,0.0002777751289686,-1.213076090021e-06,-1.213076090021e-06,-0.0002777751289686,211.9343816,-14.5890554,211.47807455,-14.14225279,212.39469955,-14.14612669,212.3925429,-15.03496856,211.4722094,-15.03107899,2019-05-08 00:00:00+00,-1,145720143
1,16,324,14,1,52,1,zg,324120152,15,21.4612999,2018-03-27 08:13:57+00,2018-06-29 04:31:49.1+00,1600.5,1600.5,214.7372178,-13.7203604,0.000277776245805,9.225473489168001e-07,9.225473489168001e-07,-0.000277776245805,214.7372178,-13.7203604,214.27907622,-13.27699388,215.19232072,-13.2740474,215.19709213,-14.16287964,214.28038213,-14.1658373,2019-05-08 00:00:00+00,-1,144991063
2,0,324,12,4,47,2,zr,324120247,17,21.4852009,2018-03-21 09:00:59+00,2018-12-13 13:33:45.563+00,1600.5,1600.5,210.8841569,-16.4895431,0.0002777604632241,-3.101434605422e-06,-3.101434605422e-06,-0.0002777604632241,210.8841569,-16.4895431,210.42692441,-16.0396888,211.35173894,-16.04959033,211.34351734,-16.9383997,210.41444691,-16.92845259,2019-05-08 00:00:00+00,-1,145720091
3,16,324,15,4,59,3,zi,324120359,15,21.3358002,2018-05-06 09:02:20.95+00,2021-05-19 06:30:55.622+00,1600.5,1600.5,212.8622813,-14.5947342,0.0002777777511448,-1.2163926388920002e-07,-1.2163926388920002e-07,-0.0002777777511448,212.8622813,-14.5947342,212.40415415,-14.14966994,213.32081065,-14.15005839,213.32226357,-15.0389016,212.40189683,-15.03851158,2020-12-09 00:00:00+00,-1,569875764
4,16,324,11,1,40,1,zg,324120140,15,21.3882008,2018-03-27 08:13:57+00,2018-06-29 04:31:49.1+00,1600.5,1600.5,212.8250064,-15.6336395,0.0002777767778227,-7.45338569001e-07,-7.45338569001e-07,-0.0002777767778227,212.8250064,-15.6336395,212.36573734,-15.18754771,213.286752,-15.18992755,213.28627896,-16.07877175,212.3612573,-16.07638156,2019-05-08 00:00:00+00,-1,144990958
5,16,324,11,2,41,1,zg,324120141,15,21.3957996,2018-03-27 08:13:57+00,2018-06-29 04:31:49.1+00,1600.5,1600.5,211.927198,-15.629446,0.0002777706153543,-1.994761351113e-06,-1.994761351113e-06,-0.0002777706153543,211.927198,-15.629446,211.4700239,-15.18136952,212.39099996,-15.18773873,212.38637481,-16.07657189,211.46139333,-16.07017498,2019-05-08 00:00:00+00,-1,144990940
6,16,324,11,4,43,2,zr,324120243,15,21.4801998,2018-03-21 09:00:59+00,2018-06-29 06:02:48.225+00,1600.5,1600.5,212.8211998,-16.5026977,0.0002777766638303,-7.866755654946999e-07,-7.866755654946999e-07,-0.0002777766638303,212.8211998,-16.5026977,212.36004787,-16.05651207,213.28497706,-16.05902357,213.28448212,-16.94786777,212.35529215,-16.94534469,2019-05-08 00:00:00+00,-1,144991249
7,16,324,11,1,40,2,zr,324120240,15,21.4745998,2018-03-21 09:00:59+00,2018-06-29 06:02:48.225+00,1600.5,1600.5,212.8240271,-15.6359127,0.0002777768423077,-7.209054990177999e-07,-7.209054990177999e-07,-0.0002777768423077,212.8240271,-15.6359127,212.36471239,-15.18985974,213.28573719,-15.19216156,213.28534563,-16.0810058,212.36031319,-16.07869396,2019-05-08 00:00:00+00,-1,144991299
8,0,324,15,1,56,1,zg,324120156,15,21.4654007,2018-03-27 08:13:57+00,2018-06-29 04:31:49.1+00,1600.5,1600.5,212.8305129,-13.720747,0.0002777777454826,-1.339467426944e-07,-1.339467426944e-07,-0.0002777777454826,212.8305129,-13.720747,212.37410807,-13.27569093,213.28735892,-13.27611873,213.28865058,-14.16496217,212.37193403,-14.16453274,2019-05-08 00:00:00+00,-1,144991146
9,16,324,10,2,37,1,zg,324120137,15,21.4321995,2018-03-27 08:13:57+00,2018-06-29 04:31:49.1+00,1600.5,1600.5,213.847255,-15.6352511,0.0002777771644778,5.837137880245001e-07,5.837137880245001e-07,-0.0002777771644778,213.847255,-15.6352511,213.38577375,-15.19128044,214.30679672,-15.18941667,214.31073999,-16.07825288,213.38570954,-16.08012476,2019-05-08 00:00:00+00,-1,144990911
