,infobits,field,ccdid,qid,rcid,fid,filtercode,rfid,nframes,maglimit,startobsdate,endobsdate,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid,meta_id
0,0,1510,15,4,59,1,zg,1510120159,16,22.1819992,2018-11-05 10:00:16.701+00,2020-12-27 08:52:45.419+00,1600.5,1600.5,118.5153676,10.5887714,0.000277772934894,1.640264473409e-06,1.640264473409e-06,-0.000277772934894,118.5153676,10.5887714,118.0599148,11.03023496,118.96548097,11.03549126,118.96950925,10.14665576,118.06656538,10.14141468,2020-12-09 00:00:00+00,-1,502979121
1,0,1510,10,2,37,1,zg,1510120137,15,22.3094997,2018-11-05 10:00:16.701+00,2020-11-18 10:26:37.585+00,1600.5,1600.5,119.5090488,9.5344597,0.0002777776605406,2.5520927952780005e-07,2.5520927952780005e-07,-0.0002777776605406,119.5090488,9.5344597,119.05738643,9.97818293,119.95988311,9.97900064,119.95953691,9.09015638,119.05938875,9.0893408,2020-12-09 00:00:00+00,-1,478706599
2,0,1510,13,1,48,2,zr,1510120248,16,21.3647003,2018-11-10 09:26:41.206+00,2019-10-27 11:53:46.665+00,1600.5,1600.5,122.272446,11.4313557,0.0002777679524621,-2.336324489312e-06,-2.336324489312e-06,-0.0002777679524621,122.272446,11.4313557,121.82213345,11.87915693,122.7303856,11.87166918,122.72133639,10.98286911,121.81592856,10.99033341,2019-12-11 00:00:00+00,-1,281420305
3,0,1510,16,1,60,1,zg,1510120160,16,22.1798992,2018-11-05 10:00:16.701+00,2020-12-27 08:52:45.419+00,1600.5,1600.5,116.6155875,11.4446641,0.0002777641243225,2.754099949221e-06,2.754099949221e-06,-0.0002777641243225,116.6155875,11.4446641,116.15694986,11.88430156,117.06523382,11.89312826,117.07280129,11.00431489,116.16736503,10.99551586,2020-12-09 00:00:00+00,-1,502979263
4,0,1510,16,3,62,2,zr,1510120262,15,21.2201004,2018-11-10 09:26:41.206+00,2019-10-16 12:06:12.78+00,1600.5,1600.5,115.7178419,10.5713537,0.0002777565588814,3.433340278674e-06,3.433340278674e-06,-0.0002777565588814,115.7178419,10.5713537,115.25952461,11.00991862,116.16498353,11.02092089,116.17485064,10.13212949,115.27200883,10.12115903,2019-12-11 00:00:00+00,-1,273312248
5,0,1510,16,3,62,1,zg,1510120162,15,22.1028996,2018-11-05 10:00:16.701+00,2020-11-18 10:26:37.585+00,1600.5,1600.5,115.7370019,10.5611202,0.0002777562091189,3.461520327454e-06,3.461520327454e-06,-0.0002777562091189,115.7370019,10.5611202,115.27865524,10.99963974,116.18408155,11.0107323,116.19404135,10.1219419,115.29122947,10.11088138,2020-12-09 00:00:00+00,-1,478706574
6,16,1510,12,1,44,2,zr,1510120244,15,21.4638996,2018-11-10 09:26:41.206+00,2019-10-16 12:06:12.78+00,1600.5,1600.5,116.6054161,9.5346931,0.0002777631527696,2.850401831363e-06,2.850401831363e-06,-0.0002777631527696,116.6054161,9.5346931,116.14956687,9.97423551,117.05201687,9.98336841,117.06009129,9.09455976,116.15998938,9.08545062,2019-12-11 00:00:00+00,-1,273312367
7,0,1510,16,2,61,2,zr,1510120261,16,21.2628994,2018-11-10 09:26:41.206+00,2019-10-27 11:53:46.665+00,1600.5,1600.5,115.710953,11.4194036,0.0002777562285078,3.459964196322e-06,3.459964196322e-06,-0.0002777562285078,115.710953,11.4194036,115.25121872,11.85789812,116.15939253,11.86898703,116.16926695,10.9801954,115.2639338,10.96914118,2019-12-11 00:00:00+00,-1,281419946
8,0,1510,12,2,45,2,zr,1510120245,16,21.4605999,2018-11-10 09:26:41.206+00,2019-10-27 11:53:46.665+00,1600.5,1600.5,115.7331823,9.5070474,0.0002777559890247,3.479136112102e-06,3.479136112102e-06,-0.0002777559890247,115.7331823,9.5070474,115.27636345,9.94557197,116.17871359,9.95671934,116.18883078,9.06793103,115.28882138,9.05681258,2019-12-11 00:00:00+00,-1,281420165
9,0,1510,4,3,14,1,zg,1510120114,15,22.0594006,2018-11-05 10:00:16.701+00,2020-11-18 10:26:37.585+00,1600.5,1600.5,115.7904292,4.8227104,0.0002777696005961,2.131387288142e-06,2.131387288142e-06,-0.0002777696005961,115.7904292,4.8227104,115.34071362,5.2635616,116.23330052,5.2703863,116.23956106,4.38156387,115.34814159,4.3747481,2020-12-09 00:00:00+00,-1,478706493
