,infobits,field,ccdid,qid,rcid,fid,filtercode,rfid,nframes,maglimit,startobsdate,endobsdate,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid,meta_id
0,16,1586,15,3,58,1,zg,1586120158,15,21.8323002,2018-06-05 09:25:24.514+00,2019-07-15 08:29:31.776+00,1600.5,1600.5,289.0234833,17.76641,0.0002777677849085,2.356160903066e-06,2.356160903066e-06,-0.0002777677849085,289.0234833,17.76641,288.55168722,18.20648337,289.48736265,18.21404162,289.49295989,17.32521328,288.56192344,17.3176925,2019-12-11 00:00:00+00,-1,222316003
1,0,1586,11,1,40,2,zr,1586120240,15,21.6375008,2018-05-09 11:24:41.301+00,2019-07-31 06:00:13.118+00,1600.5,1600.5,289.9097938,16.7453118,0.0002777774403486,4.329670459231e-07,4.329670459231e-07,-0.0002777774403486,289.9097938,16.7453118,289.44386974,17.18851924,290.37427112,17.18990793,290.37355155,16.30106388,289.44748279,16.29968165,2019-12-11 00:00:00+00,-1,229653848
2,0,1586,16,2,61,1,zg,1586120161,16,21.7420998,2018-06-05 09:25:24.514+00,2021-07-06 09:24:59.874+00,1600.5,1600.5,287.0689697,18.634969,0.0002777405881363,4.54527544042e-06,4.54527544042e-06,-0.0002777405881363,287.0689697,18.634969,286.59110513,19.07145761,287.5314858,19.08604014,287.54438194,18.19727982,286.60890594,18.18277336,2020-12-09 00:00:00+00,-1,591135264
3,0,1586,10,2,37,1,zg,1586120137,15,21.7877007,2018-06-05 09:25:24.514+00,2019-07-15 08:29:31.776+00,1600.5,1600.5,290.9593861,16.722068,0.0002777758234345,-1.041989663009e-06,-1.041989663009e-06,-0.0002777758234345,290.9593861,16.722068,290.49598714,17.16763899,291.42626641,17.16429694,291.42062224,16.27546906,290.4946686,16.27879556,2019-12-11 00:00:00+00,-1,222315845
4,0,1586,15,2,57,1,zg,1586120157,15,21.9431,2018-06-05 09:25:24.514+00,2021-06-30 09:47:03.268+00,1600.5,1600.5,289.0221077,18.6328976,0.0002777679216395,2.33998615732e-06,2.33998615732e-06,-0.0002777679216395,289.0221077,18.6328976,288.54792582,19.07296761,289.48838802,19.08047495,289.4938366,18.19164562,288.55828036,18.18417745,2020-12-09 00:00:00+00,-1,588515738
5,0,1586,10,1,36,2,zr,1586120236,15,21.5161991,2018-05-09 11:24:41.301+00,2019-08-02 07:05:04.439+00,1600.5,1600.5,291.8408181,16.7432073,0.0002777689750049,-2.211414006659e-06,-2.211414006659e-06,-0.0002777689750049,291.8408181,16.7432073,291.37933161,17.19064203,292.30969387,17.18354919,292.30013885,16.29475197,291.37410806,16.30181179,2019-12-11 00:00:00+00,-1,230750854
6,16,1586,15,2,57,2,zr,1586120257,15,21.3976002,2018-05-09 11:24:41.301+00,2019-07-12 06:59:24.782+00,1600.5,1600.5,288.9936488,18.6576933,0.0002777677628874,2.358755532441e-06,2.358755532441e-06,-0.0002777677628874,288.9936488,18.6576933,288.51936449,19.0977321,289.459967,19.10529968,289.46547627,18.21647068,288.52978744,18.20894264,2019-12-11 00:00:00+00,-1,220777301
7,16,1586,13,4,51,1,zg,1586120151,15,21.7180996,2018-06-05 09:25:24.514+00,2019-07-15 08:29:31.776+00,1600.5,1600.5,293.8232664,17.7378973,0.0002777264794907,-5.338203519004e-06,-5.338203519004e-06,-0.0002777264794907,293.8232664,17.7378973,293.36454207,18.19024674,294.2999243,18.17312258,294.27967695,17.2844875,293.34892227,17.30152692,2019-12-11 00:00:00+00,-1,222316030
8,0,1586,8,3,30,1,zg,1586120130,15,21.5128002,2018-06-05 09:25:24.514+00,2019-07-15 08:29:31.776+00,1600.5,1600.5,287.1250958,13.9210667,0.0002777460429821,4.198742060961e-06,4.198742060961e-06,-0.0002777460429821,287.1250958,13.9210667,286.65946177,14.35827931,287.57688821,14.37174073,287.58896996,13.48297377,286.67506326,13.469564,2019-12-11 00:00:00+00,-1,222316131
9,0,1586,8,2,29,1,zg,1586120129,15,21.4766006,2018-06-05 09:25:24.514+00,2019-07-15 08:29:31.776+00,1600.5,1600.5,287.1115886,14.7871687,0.0002777456043358,4.227658839873e-06,4.227658839873e-06,-0.0002777456043358,287.1115886,14.7871687,286.64404517,15.22430553,287.56514108,15.23786136,287.57725056,14.34909415,286.6599176,14.33559372,2019-12-11 00:00:00+00,-1,222316113
10,0,1586,4,1,12,2,zr,1586120212,16,21.6159992,2018-06-16 08:39:30.474+00,2021-05-27 09:24:25.384+00,1600.5,1600.5,288.0319823,12.8869144,0.0002777685277426,2.266897190404e-06,2.266897190404e-06,-0.0002777685277426,288.0319823,12.8869144,287.57154788,13.32729333,288.48497571,13.33456006,288.49079874,12.44573387,287.58060688,12.43849287,2020-12-09 00:00:00+00,-1,572896692
