,infobits,field,ccdid,qid,rcid,fid,filtercode,rfid,nframes,maglimit,startobsdate,endobsdate,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid,meta_id
0,0,1848,13,2,49,2,zr,1848120249,16,21.4251003,2018-11-26 10:56:07.411+00,2019-10-14 11:12:00.277+00,1600.5,1600.5,150.4351233,68.9339385,0.0002762834834343,-2.877378335553e-05,-2.877378335553e-05,-0.0002762834834343,150.4351233,68.9339385,149.30860691,69.41837371,151.81757318,69.32443841,151.51290153,68.44239457,149.10139408,68.53264239,2019-12-11 00:00:00+00,-1,271767586
1,0,1848,1,4,3,1,zg,1848120103,15,21.7754002,2018-11-08 09:18:09.918+00,2021-11-13 08:30:21.603+00,1600.5,1600.5,150.8445174,62.2802599,0.0002761005563994,-3.047911716375e-05,-3.047911716375e-05,-0.0002761005563994,150.8445174,62.2802599,149.985706,62.76815658,151.91290579,62.66918514,151.67579571,61.78723226,149.80365614,61.88334197,2020-12-09 00:00:00+00,-1,649436504
2,0,1848,3,3,10,2,zr,1848120210,15,21.3934994,2018-11-17 08:19:17.589+00,2019-10-01 11:33:34.044+00,1600.5,1600.5,140.9656949,62.4137311,0.000277480356561,1.285089685406e-05,1.285089685406e-05,-0.000277480356561,140.9656949,62.4137311,139.94828706,62.83346116,141.89434619,62.87519705,141.95472995,61.98679208,140.06541903,61.94627569,2019-12-11 00:00:00+00,-1,268949612
3,16,1848,3,2,9,2,zr,1848120209,16,21.3950005,2018-11-17 08:19:17.589+00,2019-10-14 11:12:00.277+00,1600.5,1600.5,140.8787754,63.278315,0.0002774645427176,1.31879248422e-05,1.31879248422e-05,-0.0002774645427176,140.8787754,63.278315,139.82928681,63.69733176,141.8344633,63.74018623,141.89794475,62.8517997,139.95340982,62.81024402,2019-12-11 00:00:00+00,-1,271767726
4,0,1848,2,4,7,2,zr,1848120207,15,21.2954006,2018-11-17 08:19:17.589+00,2019-10-01 11:33:34.044+00,1600.5,1600.5,146.8367018,62.415957,0.0002775083464509,-1.223157705453e-05,-1.223157705453e-05,-0.0002775083464509,146.8367018,62.415957,145.90573862,62.87646176,147.85215037,62.83673712,147.73927335,61.94943289,145.84964235,61.98799657,2019-12-11 00:00:00+00,-1,268949619
5,0,1848,2,4,7,1,zg,1848120107,16,21.8848,2018-11-08 09:18:09.918+00,2021-11-13 08:30:21.603+00,1600.5,1600.5,146.8620992,62.4186826,0.0002774998486657,-1.24228747752e-05,-1.24228747752e-05,-0.0002774998486657,146.8620992,62.4186826,145.93174143,62.87948405,147.8782715,62.83913807,147.76406293,61.95187017,145.8743184,61.99103692,2020-12-09 00:00:00+00,-1,649436677
6,0,1848,15,3,58,2,zr,1848120258,16,21.3019009,2018-11-20 08:19:19.048+00,2019-10-15 10:26:09.062+00,1600.5,1600.5,140.2447841,68.1401699,0.0002772210711993,1.75775854508e-05,1.75775854508e-05,-0.0002772210711993,140.2447841,68.1401699,138.95488269,68.5506504,141.38374358,68.60799249,141.4889029,67.72000886,139.15161657,67.66483697,2019-12-11 00:00:00+00,-1,272454495
7,16,1848,4,3,14,1,zg,1848120114,15,21.9487991,2018-11-08 09:18:09.918+00,2021-02-17 04:19:42.703+00,1600.5,1600.5,136.9910721,62.271687,0.0002761190556435,3.031106955707e-05,3.031106955707e-05,-0.0002761190556435,136.9910721,62.271687,135.92350306,62.6609161,137.85027893,62.75934143,138.03112435,61.87447591,136.15938797,61.77889568,2020-12-09 00:00:00+00,-1,528009856
8,16,1848,4,2,13,1,zg,1848120113,15,21.8542004,2018-11-08 09:18:09.918+00,2021-02-28 07:40:42.656+00,1600.5,1600.5,136.7750205,63.1308736,0.0002760148135363,3.12460643232e-05,3.12460643232e-05,-0.0002760148135363,136.7750205,63.1308736,135.67252137,63.51826384,137.65640477,63.61978043,137.84817496,62.73515717,135.92298784,62.6366822,2020-12-09 00:00:00+00,-1,535705988
9,0,1848,10,1,36,1,zg,1848120136,16,21.7327003,2018-11-08 09:18:09.918+00,2021-11-13 08:30:21.603+00,1600.5,1600.5,147.4086912,67.1106785,0.00027737122167,-1.502328913631e-05,-1.502328913631e-05,-0.00027737122167,147.4086912,67.1106785,146.30834493,67.57477349,148.63254363,67.52581061,148.46729376,66.63929783,146.22657586,66.68649721,2020-12-09 00:00:00+00,-1,649436696
10,16,1848,10,1,36,2,zr,1848120236,16,21.375,2018-11-26 10:56:07.411+00,2019-10-20 11:59:52.725+00,1600.5,1600.5,147.38367,67.0924691,0.0002773733840587,-1.498331214737e-05,-1.498331214737e-05,-0.0002773733840587,147.38367,67.0924691,146.2839966,67.55650576,148.60642841,67.50767396,148.44166676,66.62115089,146.20258164,66.66822543,2019-12-11 00:00:00+00,-1,275890189
11,16,1848,13,1,48,2,zr,1848120248,15,21.4230003,2018-11-17 08:19:17.589+00,2019-10-01 11:33:34.044+00,1600.5,1600.5,152.8098866,68.8311646,0.0002749732406037,-3.937271617538e-05,-3.937271617538e-05,-0.0002749732406037,152.8098866,68.8311646,151.74192548,69.3308182,154.22643963,69.20230757,153.83051387,68.32510396,151.44064452,68.44861947,2019-12-11 00:00:00+00,-1,268949625
12,16,1848,14,4,55,1,zg,1848120155,16,21.7642002,2018-11-08 09:18:09.918+00,2021-11-13 08:30:21.603+00,1600.5,1600.5,147.5659559,68.1531903,0.0002772796300575,-1.662830665826e-05,-1.662830665826e-05,-0.0002772796300575,147.5659559,68.1531903,146.42198537,68.61955562,148.85279745,68.56530938,148.66403972,67.67925127,146.32499219,67.73144272,2020-12-09 00:00:00+00,-1,649436629
13,16,1848,13,3,50,2,zr,1848120250,15,21.4482994,2018-11-26 10:56:07.411+00,2019-10-14 11:12:00.277+00,1600.5,1600.5,150.1956996,68.0719737,0.0002763976111884,-2.765600036934e-05,-2.765600036934e-05,-0.0002763976111884,150.1956996,68.0719737,149.1071419,68.55492889,151.52104492,68.46471995,151.23929699,67.58214905,148.91530029,67.6689653,2019-12-11 00:00:00+00,-1,271767642
