,infobits,field,ccdid,qid,rcid,fid,filtercode,rfid,nframes,maglimit,startobsdate,endobsdate,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid,meta_id
0,0,274,15,4,59,2,zr,274120259,15,21.4661999,2018-04-08 08:49:34+00,2019-06-08 05:31:06.905+00,1600.5,1600.5,213.5749393,-21.7919716,0.0002777773066723,-5.115906211287001e-07,-5.115906211287001e-07,-0.0002777773066723,213.5749393,-21.7919716,213.09866268,-21.34604719,214.05297886,-21.34767916,214.05418462,-22.23652277,213.09393104,-22.23488065,2019-12-11 00:00:00+00,-1,204125541
1,0,274,15,4,59,1,zg,274120159,15,21.2877007,2018-03-29 08:51:16+00,2019-06-08 04:34:20.068+00,1600.5,1600.5,213.5767552,-21.7956853,0.0002777773634005,-4.798014386915001e-07,-4.798014386915001e-07,-0.0002777773634005,213.5767552,-21.7956853,213.10041164,-21.34981137,214.0547522,-21.35134194,214.05606809,-22.24018542,213.09578887,-22.23864533,2019-12-11 00:00:00+00,-1,204124910
2,0,274,14,2,53,1,zg,274120153,15,21.3348999,2018-03-29 08:51:16+00,2019-06-08 04:34:20.068+00,1600.5,1600.5,214.6360864,-20.9305178,0.0002777777140512,1.881585993182e-07,1.881585993182e-07,-0.0002777777140512,214.6360864,-20.9305178,214.16133935,-20.48573858,215.11018885,-20.48513827,215.11365679,-21.37397669,214.15916061,-21.37458057,2019-12-11 00:00:00+00,-1,204126539
3,0,274,14,2,53,2,zr,274120253,15,21.3960991,2018-04-08 08:49:34+00,2019-06-08 05:31:06.905+00,1600.5,1600.5,214.6347306,-20.9262164,0.0002777777204615,1.7844438970520002e-07,1.7844438970520002e-07,-0.0002777777204615,214.6347306,-20.9262164,214.16001349,-20.48142182,215.10883641,-20.4808525,215.11227033,-21.36969104,214.15780217,-21.37026374,2019-12-11 00:00:00+00,-1,204125074
4,0,274,11,1,40,1,zg,274120140,15,21.2985992,2018-03-29 08:51:16+00,2019-06-08 04:34:20.068+00,1600.5,1600.5,213.5697696,-22.8428949,0.0002777756671469,-1.082851885206e-06,-1.082851885206e-06,-0.0002777756671469,213.5697696,-22.8428949,213.09096773,-22.39602553,214.05233117,-22.39947924,214.05172288,-23.28832339,213.08405661,-23.28484703,2019-12-11 00:00:00+00,-1,204125378
5,0,274,11,1,40,2,zr,274120240,15,21.4524002,2018-04-08 08:49:34+00,2019-06-08 05:31:06.905+00,1600.5,1600.5,213.5684712,-22.838342,0.0002777757234568,-1.068309523048e-06,-1.068309523048e-06,-0.0002777757234568,213.5684712,-22.838342,213.08965967,-22.39149589,214.05099182,-22.39490322,214.05043334,-23.2837474,213.08279997,-23.28031772,2019-12-11 00:00:00+00,-1,204124331
6,0,274,15,1,56,2,zr,274120256,15,21.4433994,2018-04-08 08:49:34+00,2019-06-08 05:31:06.905+00,1600.5,1600.5,213.5768267,-20.9251908,0.0002777774025114,-4.565973192541e-07,-4.565973192541e-07,-0.0002777774025114,213.5768267,-20.9251908,213.10320103,-20.47938373,214.05201653,-20.48084047,214.05327481,-21.36968402,213.09881443,-21.36821861,2019-12-11 00:00:00+00,-1,204126635
7,0,274,15,1,56,1,zg,274120156,15,21.3484001,2018-03-29 08:51:16+00,2019-06-08 04:34:20.068+00,1600.5,1600.5,213.5786477,-20.9285842,0.0002777774408351,-4.326548262916e-07,-4.326548262916e-07,-0.0002777774408351,213.5786477,-20.9285842,213.10497048,-20.48281515,214.05380709,-20.4841955,214.05514793,-21.37303894,213.1006653,-21.37165037,2019-12-11 00:00:00+00,-1,204126613
8,0,274,11,2,41,1,zg,274120141,15,21.3040009,2018-03-29 08:51:16+00,2019-06-08 04:34:20.068+00,1600.5,1600.5,212.6317151,-22.8365462,0.00027776235051,-2.927535879124e-06,-2.927535879124e-06,-0.00027776235051,212.6317151,-22.8365462,212.15616018,-22.38675657,213.11743408,-22.39609386,213.11041972,-23.28491467,212.14284644,-23.27551619,2019-12-11 00:00:00+00,-1,204125315
9,0,274,11,2,41,2,zr,274120241,15,21.4678001,2018-04-08 08:49:34+00,2019-06-08 05:31:06.905+00,1600.5,1600.5,212.6305741,-22.8321111,0.000277762538612,-2.909634152538e-06,-2.909634152538e-06,-0.000277762538612,212.6305741,-22.8321111,212.15500294,-22.38234987,213.11624684,-22.39163007,213.10929418,-23.28045129,212.14175246,-23.27111029,2019-12-11 00:00:00+00,-1,204124994
10,0,274,11,3,42,2,zr,274120242,15,21.3803997,2018-04-08 08:49:34+00,2019-04-29 07:30:53.437+00,1600.5,1600.5,212.6199707,-23.698893,0.0002777624875429,-2.914505292708e-06,-2.914505292708e-06,-0.0002777624875429,212.6199707,-23.698893,212.14137182,-23.24909404,213.10875408,-23.25838848,213.10187398,-24.14721047,212.12788293,-24.13785253,2019-12-11 00:00:00+00,-1,193015518
11,0,274,15,3,58,2,zr,274120258,15,21.4232006,2018-04-08 08:49:34+00,2019-06-08 05:31:06.905+00,1600.5,1600.5,212.6438743,-21.7877708,0.0002777695148355,-2.142534764039e-06,-2.142534764039e-06,-0.0002777695148355,212.6438743,-21.7877708,212.17043463,-21.33925764,213.12469695,-21.34609233,213.12028163,-22.23492719,212.16008401,-22.22805,2019-12-11 00:00:00+00,-1,204125525
12,0,274,11,3,42,1,zg,274120142,15,21.2528992,2018-03-29 08:51:16+00,2019-06-08 04:34:20.068+00,1600.5,1600.5,212.6215363,-23.7035786,0.0002777623161805,-2.930791221986e-06,-2.930791221986e-06,-0.0002777623161805,212.6215363,-23.7035786,212.14294936,-23.25375378,213.11036502,-23.26310015,213.10342849,-24.15192178,212.12940234,-24.14251154,2019-12-11 00:00:00+00,-1,204125702
