,infobits,field,ccdid,qid,rcid,fid,filtercode,rfid,nframes,maglimit,startobsdate,endobsdate,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid,meta_id
0,0,1400,11,2,41,1,zg,1400120141,16,21.5727997,2018-09-23 10:24:16.889+00,2020-08-31 11:53:14.666+00,1600.5,1600.5,76.5230202,-4.8749217,0.0002777777468233,1.311367629186e-07,1.311367629186e-07,-0.0002777777468233,76.5230202,-4.8749217,76.07705557,-4.43056235,76.9685637,-4.430143,76.96957501,-5.31898675,76.07688652,-5.31940665,2020-12-09 00:00:00+00,-1,436111692
1,16,1400,11,3,42,1,zg,1400120142,15,21.4904995,2018-09-23 10:24:16.889+00,2019-10-23 11:15:20.734+00,1600.5,1600.5,76.5217837,-5.7417346,0.0002777777436779,1.3763859843480001e-07,1.3763859843480001e-07,-0.0002777777436779,76.5217837,-5.7417346,76.07523410999998,-5.29735936,76.96789065999998,-5.29691927,76.96903004,-6.18576287,76.07497999,-6.18620364,2019-12-11 00:00:00+00,-1,278335102
2,16,1400,7,3,26,1,zg,1400120126,15,21.5021,2018-09-23 10:24:16.889+00,2019-10-23 11:15:20.734+00,1600.5,1600.5,76.5199103,-7.658258,0.0002777775929466,3.2044334922000003e-07,3.2044334922000003e-07,-0.0002777775929466,76.5199103,-7.658258,76.07142537,-7.214116759999999,76.96736065,-7.213092439999999,76.96933065999998,-8.10193462,76.07152451999998,-8.10296108,2019-12-11 00:00:00+00,-1,278334814
3,16,1400,7,4,27,1,zg,1400120127,15,21.4456997,2018-09-23 10:24:16.889+00,2019-10-23 11:15:20.734+00,1600.5,1600.5,77.3920375,-7.6565561,0.0002777766078321,8.062062043551001e-07,8.062062043551001e-07,-0.0002777766078321,77.3920375,-7.6565561,76.94277168,-7.21319288,77.83870041999998,-7.21061578,77.84223853,-8.09945319,76.94443938,-8.10203566,2019-12-11 00:00:00+00,-1,278334819
4,16,1400,7,1,24,1,zg,1400120124,15,21.4377003,2018-09-23 10:24:16.889+00,2019-10-23 11:15:20.734+00,1600.5,1600.5,77.3893481,-6.789834,0.0002777764864824,8.469856417380001e-07,8.469856417380001e-07,-0.0002777764864824,77.3893481,-6.789834,76.94082401,-6.34656275,77.83514286,-6.34385498,77.83869887999998,-7.23269229,76.94272664999998,-7.235405059999999,2019-12-11 00:00:00+00,-1,278334914
5,0,1400,7,4,27,2,zr,1400120227,16,21.5256996,2018-09-25 09:30:17.79+00,2019-10-14 09:59:49.489+00,1600.5,1600.5,77.3916825,-7.6493203,0.0002777766139589,8.040924255850999e-07,8.040924255850999e-07,-0.0002777766139589,77.3916825,-7.6493203,76.94242726,-7.20595391,77.83834170999998,-7.20338357,77.84187204,-8.092221009999998,76.944089,-8.09479671,2019-12-11 00:00:00+00,-1,271764114
6,0,1400,7,1,24,2,zr,1400120224,16,21.4913998,2018-09-25 09:30:17.79+00,2019-10-15 10:57:52.438+00,1600.5,1600.5,77.3894824,-6.7831737,0.0002777764517804,8.582909587082e-07,8.582909587082e-07,-0.0002777764517804,77.3894824,-6.7831737,76.94094595,-6.33992078,77.83525313,-6.33717687,77.83884471,-7.22601403,76.94288581,-7.228763019999999,2019-12-11 00:00:00+00,-1,272451332
7,0,1400,15,3,58,2,zr,1400120258,15,21.4484997,2018-09-25 09:30:17.79+00,2019-10-14 09:59:49.489+00,1600.5,1600.5,76.5228536,-3.8232181,0.0002777763503656,8.905081226217e-07,8.905081226217e-07,-0.0002777763503656,76.5228536,-3.8232181,76.07623198,-3.38010712,76.96661942,-3.37725906,76.96993698999998,-4.26609722,76.07862600999998,-4.26894824,2019-12-11 00:00:00+00,-1,271764141
8,0,1400,11,2,41,2,zr,1400120241,16,21.4414997,2018-09-25 09:30:17.79+00,2019-10-21 10:40:13.927+00,1600.5,1600.5,76.5221423,-4.8698954,0.0002777777500988,1.240046696081e-07,1.240046696081e-07,-0.0002777777500988,76.5221423,-4.8698954,76.07619214,-4.42552479,76.96769423,-4.42512825,76.96868202,-5.31397203,76.07600080999998,-5.31436909,2019-12-11 00:00:00+00,-1,275972686
9,0,1400,11,3,42,2,zr,1400120242,16,21.4190998,2018-09-25 09:30:17.79+00,2019-10-21 10:40:13.927+00,1600.5,1600.5,76.52251409999998,-5.7364706,0.0002777777468217,1.311401566139e-07,1.311401566139e-07,-0.0002777777468217,76.52251409999998,-5.7364706,76.07597875,-5.29208512,76.96862771,-5.29166581,76.96974555,-6.18050944,76.07570439,-6.1809294,2019-12-11 00:00:00+00,-1,276714640
