,infobits,field,ccdid,qid,rcid,fid,filtercode,rfid,nframes,maglimit,startobsdate,endobsdate,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid,meta_id
0,0,1338,10,4,39,1,zg,1338120139,15,21.8756008,2018-09-02 09:29:15.464+00,2020-10-23 05:24:45.263+00,1600.5,1600.5,13.805806,-12.8995993,0.0002777717231445,1.834025194773e-06,1.834025194773e-06,-0.0002777717231445,13.805806,-12.8995993,13.3476724,-12.4577219,14.25791917,-12.45186361,14.26555939,-13.34067673,13.35207304,-13.34655587,2020-12-09 00:00:00+00,-1,465103529
1,0,1338,6,3,22,2,zr,1338120222,16,21.9321003,2018-09-01 09:55:18.166+00,2020-11-17 04:30:33.071+00,1600.5,1600.5,12.9236344,-14.8308801,0.0002777763237477,8.98772698579e-07,8.98772698579e-07,-0.0002777763237477,12.9236344,-14.8308801,12.46334038,-14.38743983,13.38095344,-14.38456974,13.38581694,-15.27340163,12.46442685,-15.27628353,2020-12-09 00:00:00+00,-1,478136359
2,0,1338,10,3,38,2,zr,1338120238,16,21.8330002,2018-08-26 09:58:22.434+00,2020-10-25 07:20:17.085+00,1600.5,1600.5,12.9154279,-12.9320372,0.0002777762947983,9.076757699522001e-07,9.076757699522001e-07,-0.0002777762947983,12.9154279,-12.9320372,12.4587501,-12.48867197,13.36912575,-12.48577267,13.37373002,-13.37460566,12.46010573,-13.37751531,2020-12-09 00:00:00+00,-1,466110519
3,0,1338,5,1,16,2,zr,1338120216,15,22.0386009,2018-08-26 09:58:22.434+00,2021-09-11 08:24:18.036+00,1600.5,1600.5,15.7305221,-13.9362931,0.0002777481784443,4.055021335931e-06,4.055021335931e-06,-0.0002777481784443,15.7305221,-13.9362931,15.26685178,-13.49796675,16.18082371,-13.48501602,16.19595446,-14.37373901,15.27845845,-14.38673969,2020-12-09 00:00:00+00,-1,621524348
4,16,1338,5,1,16,1,zg,1338120116,15,21.6420994,2018-09-02 09:29:15.464+00,2020-11-12 04:51:03.512+00,1600.5,1600.5,15.726278,-13.9325469,0.0002777479191026,4.072746166181e-06,4.072746166181e-06,-0.0002777479191026,15.726278,-13.9325469,15.26258616,-13.49424939,16.1765429,-13.48124204,16.19173135,-14.36996411,15.27425158,-14.3830216,2020-12-09 00:00:00+00,-1,474681170
5,0,1338,9,4,35,1,zg,1338120135,15,21.6615009,2018-09-02 09:29:15.464+00,2020-10-07 08:29:21.391+00,1600.5,1600.5,15.7127764,-12.9199178,0.0002777487875116,4.013086466525e-06,4.013086466525e-06,-0.0002777487875116,15.7127764,-12.9199178,15.25106745,-12.48155664,16.1613108,-12.46873798,16.17610738,-13.35746529,15.26261997,-13.37032964,2020-12-09 00:00:00+00,-1,456327425
6,0,1338,6,1,20,1,zg,1338120120,16,21.7723999,2018-09-02 09:29:15.464+00,2020-10-15 06:25:45.599+00,1600.5,1600.5,13.8128073,-13.9881607,0.0002777710469744,1.933724350042e-06,1.933724350042e-06,-0.0002777710469744,13.8128073,-13.9881607,13.35249616,-13.54640864,14.26674185,-13.54023285,14.27488829,-14.42904202,13.3571029,-14.43524172,2020-12-09 00:00:00+00,-1,460282732
7,0,1338,13,2,49,1,zg,1338120149,15,21.6007004,2018-09-02 09:29:15.464+00,2020-10-06 08:07:01.416+00,1600.5,1600.5,14.7992941,-10.1484716,0.0002777667685786,2.473075121796e-06,2.473075121796e-06,-0.0002777667685786,14.7992941,-10.1484716,14.34441917,-9.707710250000002,15.24612992,-9.69980763,15.2554226,-10.58860488,14.3512047,-10.59652947,2020-12-09 00:00:00+00,-1,455612099
8,0,1338,10,1,36,1,zg,1338120136,16,21.7010994,2018-09-02 09:29:15.464+00,2020-10-07 08:29:21.391+00,1600.5,1600.5,13.7998399,-12.0697289,0.0002777718091037,1.820959748833e-06,1.820959748833e-06,-0.0002777718091037,13.7998399,-12.0697289,13.34314099,-11.62785694,14.25058041,-11.6220397,14.2580463,-12.51085404,13.3475919,-12.51669061,2020-12-09 00:00:00+00,-1,456327780
9,0,1338,14,4,55,2,zr,1338120255,15,21.8836994,2018-08-26 09:58:22.434+00,2020-11-12 05:40:34.824+00,1600.5,1600.5,13.7924215,-11.0149612,0.0002777762911079,9.088044101688e-07,9.088044101688e-07,-0.0002777762911079,13.7924215,-11.0149612,13.33884867,-10.57165825,14.24303176,-10.56875455,14.24736155,-11.45758871,13.34044401,-11.46050119,2020-12-09 00:00:00+00,-1,474681133
