,infobits,field,ccdid,qid,rcid,fid,filtercode,rfid,nframes,maglimit,startobsdate,endobsdate,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid,meta_id
0,16,409,2,4,7,1,zg,409120107,23,21.8194008,2018-02-19 03:12:49+00,2018-11-21 07:40:15.194+00,1600.5,1600.5,94.4496732,-5.9556639,0.0002777753592344,1.159150271162e-06,1.159150271162e-06,-0.0002777753592344,94.4496732,-5.9556639,94.00132648,-5.51291902,94.89429074,-5.50921285,94.89874307,-6.39804614,94.00433252,-6.40175831,2019-05-08 00:00:00+00,-1,139559328
1,0,409,2,4,7,2,zr,409120207,18,21.7161999,2018-04-08 03:28:42+00,2018-11-26 10:05:30.018+00,1600.5,1600.5,94.4505555,-5.9478221,0.0002777753258909,1.167113266065e-06,1.167113266065e-06,-0.0002777753258909,94.4505555,-5.9478221,94.00220194,-5.50509024,94.89515431,-5.50135861,94.89963123,-6.39019178,94.00523451,-6.39392945,2019-05-08 00:00:00+00,-1,139559349
2,16,409,1,1,0,1,zg,409120100,23,21.6928997,2018-02-19 03:12:49+00,2018-11-21 07:40:15.194+00,1600.5,1600.5,96.309045,-5.0990846,0.0002777754674971,1.1329094692e-06,1.1329094692e-06,-0.0002777754674971,96.309045,-5.0990846,95.86133627,-4.65632378,96.75311424,-4.65270109,96.75737138,-5.54153529,95.86435811,-5.545163,2019-05-08 00:00:00+00,-1,139559323
3,16,409,1,4,3,2,zr,409120203,18,21.5060005,2018-04-08 03:28:42+00,2018-11-26 10:05:30.018+00,1600.5,1600.5,96.3132989,-5.9352595,0.0002777753768799,1.154914005967e-06,1.154914005967e-06,-0.0002777753768799,96.3132989,-5.9352595,95.86497435,-5.49250844,96.75790804,-5.48881581,96.76234408,-6.37764918,95.86796914,-6.38134777,2019-05-08 00:00:00+00,-1,139559340
4,16,409,1,4,3,1,zg,409120103,22,21.6088009,2018-02-19 03:12:49+00,2018-11-21 07:40:15.194+00,1600.5,1600.5,96.3127885,-5.9448346,0.00027777535499,1.160166916592e-06,1.160166916592e-06,-0.00027777535499,96.3127885,-5.9448346,95.86444832,-5.50209168,96.7573963,-5.49838226,96.76185048,-6.38721554,95.86745889,-6.39093096,2019-05-08 00:00:00+00,-1,139559318
5,16,409,5,1,16,1,zg,409120116,23,21.7222004,2018-02-19 03:12:49+00,2018-11-21 07:40:15.194+00,1600.5,1600.5,96.301306,-3.1855532,0.0002777741330357,1.422969926948e-06,1.422969926948e-06,-0.0002777741330357,96.301306,-3.1855532,95.85410047,-2.74331668,96.74395126,-2.73876528,96.74889584,-3.62759589,95.85827644,-3.63215122,2019-05-08 00:00:00+00,-1,139559324
6,16,409,5,2,17,2,zr,409120217,20,21.7479992,2018-04-08 03:28:42+00,2018-11-26 10:05:30.018+00,1600.5,1600.5,95.4362503,-3.1608821,0.0002777754048386,1.148169820801e-06,1.148169820801e-06,-0.0002777754048386,95.4362503,-3.1608821,94.98949224,-2.71820482,95.87932884000001,-2.71453236,95.88338968,-3.60336743,94.99279044,-3.60704304,2019-05-08 00:00:00+00,-1,139559363
7,16,409,13,2,49,1,zg,409120149,25,21.7688007,2018-02-19 03:12:49+00,2018-11-21 07:40:15.194+00,1600.5,1600.5,95.422103,0.6594088,0.000277776911516,6.937259625525001e-07,6.937259625525001e-07,-0.000277776911516,95.422103,0.6594088,94.97648977,1.10269971,95.86549629,1.10491976,95.86763687,0.21607802,94.97878907,0.21385836,2019-05-08 00:00:00+00,-1,139559413
8,16,409,13,2,49,2,zr,409120249,21,21.7219009,2018-04-08 03:28:42+00,2018-11-26 10:05:30.018+00,1600.5,1600.5,95.4235792,0.6666434,0.0002777768984659,6.989318755032e-07,6.989318755032e-07,-0.0002777768984659,95.4235792,0.6666434,94.97795658,1.10992574,95.86696523,1.11216245,95.8691216,0.22332075,94.9802734,0.2210844399999999,2019-05-08 00:00:00+00,-1,139559457
9,16,409,2,3,6,1,zg,409120106,23,21.7861996,2018-02-19 03:12:49+00,2018-11-17 10:27:25.863+00,1600.5,1600.5,93.5800178,-5.9583165,0.0002777765939722,8.109675393448e-07,8.109675393448e-07,-0.0002777765939722,93.5800178,-5.9583165,93.13222718,-5.51501294,94.02519939,-5.51242002,94.02853191,-6.40125816,93.13411272,-6.40385528,2019-05-08 00:00:00+00,-1,139559322
10,0,409,2,3,6,2,zr,409120206,18,21.7735004,2018-04-08 03:28:42+00,2018-11-26 10:05:30.018+00,1600.5,1600.5,93.5811808,-5.9507028,0.0002777765773739,8.166330477084001e-07,8.166330477084001e-07,-0.0002777765773739,93.5811808,-5.9507028,93.13338684,-5.50740855,94.02634754,-5.50479752,94.02969731,-6.3936356,93.13529151,-6.39625086,2019-05-08 00:00:00+00,-1,139559351
11,0,409,2,2,5,2,zr,409120205,19,21.8201008,2018-04-08 03:28:42+00,2018-11-26 10:05:30.018+00,1600.5,1600.5,93.5788926,-5.0840217,0.0002777767015177,7.732535516453e-07,7.732535516453e-07,-0.0002777767015177,93.5788926,-5.0840217,93.13176915,-4.64068433,94.02353202,-4.6382117,94.02663186,-5.52705066,93.13363737,-5.5295267,2019-05-08 00:00:00+00,-1,139559362
12,16,409,6,4,23,1,zg,409120123,23,21.7742004,2018-02-19 03:12:49+00,2018-11-17 10:27:25.863+00,1600.5,1600.5,94.4416156,-4.0419845,0.0002777758792561,1.027000782377e-06,1.027000782377e-06,-0.0002777758792561,94.4416156,-4.0419845,93.99467181,-3.59908589,94.88526499,-3.59580139,94.88904779,-4.4846377,93.99747781,-4.48792581,2019-05-08 00:00:00+00,-1,139559301
13,16,409,6,4,23,2,zr,409120223,19,21.7556,2018-04-08 03:28:42+00,2018-11-26 10:05:30.018+00,1600.5,1600.5,94.44291500000001,-4.0343468,0.0002777758623912,1.03155218197e-06,1.03155218197e-06,-0.0002777758623912,94.44291500000001,-4.0343468,93.99596768,-3.59145573,94.88655335,-3.58815667,94.89034979,-4.47699292,93.99878918,-4.4802956,2019-05-08 00:00:00+00,-1,139559302
14,16,409,5,3,18,1,zg,409120118,23,21.7296009,2018-02-19 03:12:49+00,2018-11-21 07:40:15.194+00,1600.5,1600.5,95.4384692,-4.0352656,0.0002777750284084,1.235888291323e-06,1.235888291323e-06,-0.0002777750284084,95.4384692,-4.0352656,94.99119504,-3.59270259,95.88177893,-3.58875003,95.88623094,-4.47758325,94.99467189,-4.48154014,2019-05-08 00:00:00+00,-1,139559338
15,16,409,5,2,17,1,zg,409120117,25,21.7395,2018-02-19 03:12:49+00,2018-11-21 07:40:15.194+00,1600.5,1600.5,95.4349825,-3.1686067,0.0002777754312665,1.141758214335e-06,1.141758214335e-06,-0.0002777754312665,95.4349825,-3.1686067,94.98823181,-2.72591889,95.87807419,-2.72226694,95.88211545,-3.6111021,94.99150855,-3.61475719,2019-05-08 00:00:00+00,-1,139559382
16,16,409,9,3,34,1,zg,409120134,23,21.8474007,2018-02-19 03:12:49+00,2018-11-21 07:40:15.194+00,1600.5,1600.5,95.4307485,-2.1218701,0.0002777750263955,1.236340618008e-06,1.236340618008e-06,-0.0002777750263955,95.4307485,-2.1218701,94.98416083,-1.67936601,95.8733774,-1.67541098,95.87759178,-2.56424532,94.98786398,-2.56820263,2019-05-08 00:00:00+00,-1,139559386
17,16,409,9,2,33,1,zg,409120133,25,21.7915993,2018-02-19 03:12:49+00,2018-11-21 07:40:15.194+00,1600.5,1600.5,95.4270314,-1.2564232,0.0002777755090807,1.122667379789e-06,1.122667379789e-06,-0.0002777755090807,95.4270314,-1.2564232,94.98077165,-0.81376278,95.86969797,-0.81017096,95.8734424,-1.6990074,94.98421358,-1.70260044,2019-05-08 00:00:00+00,-1,139559312
18,16,409,9,2,33,2,zr,409120233,21,21.7887993,2018-04-08 03:28:42+00,2018-11-26 10:05:30.018+00,1600.5,1600.5,95.4285846,-1.2489685,0.0002777754982951,1.125332863586e-06,1.125332863586e-06,-0.0002777754982951,95.4285846,-1.2489685,94.98232142,-0.80631259,95.87124608,-0.8027122399999999,95.87499813,-1.69154864,94.98577277,-1.69515021,2019-05-08 00:00:00+00,-1,139559399
19,16,409,13,3,50,2,zr,409120250,21,21.8423996,2018-04-08 03:28:42+00,2018-11-26 10:05:30.018+00,1600.5,1600.5,95.4258683,-0.1998273,0.0002777767012735,7.733413025814e-07,7.733413025814e-07,-0.0002777767012735,95.4258683,-0.1998273,94.98020653,0.24336187,95.86905551,0.2458364299999999,95.87155411,-0.64300438,94.98265704,-0.64547907,2019-05-08 00:00:00+00,-1,139559446
20,16,409,13,3,50,1,zg,409120150,23,21.8775997,2018-02-19 03:12:49+00,2018-11-21 07:40:15.194+00,1600.5,1600.5,95.4243303,-0.2071709999999999,0.0002777767051517,7.719469838285e-07,7.719469838285e-07,-0.0002777767051517,95.4243303,-0.2071709999999999,94.978671,0.23602063,95.86751951,0.2384907199999999,95.87001453,-0.6503501,94.98111616000001,-0.65282032,2019-05-08 00:00:00+00,-1,139559308
21,16,409,6,1,20,1,zg,409120120,24,21.7968006,2018-02-19 03:12:49+00,2018-11-21 07:40:15.194+00,1600.5,1600.5,94.438512,-3.1752607,0.0002777758363126,1.038550903683e-06,1.038550903683e-06,-0.0002777758363126,94.438512,-3.1752607,93.99192356,-2.73240698,94.88177216,-2.72908515,94.8854835,-3.61792174,93.99486877,-3.62124644,2019-05-08 00:00:00+00,-1,139559387
22,0,409,6,3,22,2,zr,409120222,19,21.8610992,2018-04-08 03:28:42+00,2018-11-26 10:05:30.018+00,1600.5,1600.5,93.5759147,-4.0370368,0.0002777766232478,8.008771546692999e-07,8.008771546692999e-07,-0.0002777766232478,93.5759147,-4.0370368,93.12933482,-3.59377556,94.01992555,-3.59121424,94.02298238,-4.48005333,93.13141604,-4.48261746,2019-05-08 00:00:00+00,-1,139559307
23,16,409,5,1,16,2,zr,409120216,21,21.7003994,2018-04-08 03:28:42+00,2018-11-26 10:05:30.018+00,1600.5,1600.5,96.3024012,-3.1570578,0.0002777741426903,1.421084026441e-06,1.421084026441e-06,-0.0002777741426903,96.3024012,-3.1570578,95.85520928,-2.71481912,96.74503902,-2.71027373,96.74997397000001,-3.59910439,95.85938253,-3.60365367,2019-05-08 00:00:00+00,-1,139559385
24,16,409,8,2,29,2,zr,409120229,20,21.7227993,2018-04-08 03:28:42+00,2018-11-26 10:05:30.018+00,1600.5,1600.5,89.85508629999998,-3.173287,0.0002777776432011,2.734314782931e-07,2.734314782931e-07,-0.0002777776432011,89.85508629999998,-3.173287,89.4097217,-2.72920682,90.29957462,-2.72833224,90.30083373,-3.61717567,89.41021514,-3.61805101,2019-05-08 00:00:00+00,-1,139559364
25,0,409,12,3,46,1,zg,409120146,25,21.9302998,2018-02-19 03:12:49+00,2018-11-21 07:40:15.194+00,1600.5,1600.5,89.8595895,-2.1302383,0.0002777772247691,5.542803263945e-07,5.542803263945e-07,-0.0002777772247691,89.8595895,-2.1302383,89.41408839,-1.68663949,90.3033158,-1.68486636,90.30534725,-2.57370836,89.41560656999998,-2.57548252,2019-05-08 00:00:00+00,-1,139559406
26,0,409,12,4,47,1,zg,409120147,24,21.9298,2018-02-19 03:12:49+00,2018-11-21 07:40:15.194+00,1600.5,1600.5,90.7251961,-2.1286688,0.0002777769923298,6.605749863733001e-07,6.605749863733001e-07,-0.0002777769923298,90.7251961,-2.1286688,90.27952554,-1.68524043,91.16875149,-1.68312726,91.17112311,-2.57196842,90.28138426,-2.57408281,2019-05-08 00:00:00+00,-1,139559403
27,16,409,8,4,31,2,zr,409120231,19,21.8903008,2018-04-08 03:28:42+00,2018-11-26 10:05:30.018+00,1600.5,1600.5,90.7222845,-4.0383467,0.0002777773462992,4.896019323344e-07,4.896019323344e-07,-0.0002777773462992,90.7222845,-4.0383467,90.27620208,-3.59458651,91.16679639,-3.59302069,91.16885490000001,-4.48186264,90.27728463,-4.48343018,2019-05-08 00:00:00+00,-1,139559392
28,16,409,15,4,59,1,zg,409120159,24,21.9111004,2018-02-19 03:12:49+00,2018-11-21 07:40:15.194+00,1600.5,1600.5,92.5815388,-0.213069,0.0002777750522177,1.230525335234e-06,1.230525335234e-06,-0.0002777750522177,92.5815388,-0.213069,92.13514864,0.22938649,93.02399149,0.23332393,93.0279546,-0.65551155,92.13906047,-0.65944923,2019-05-08 00:00:00+00,-1,139559405
29,16,409,11,1,40,2,zr,409120240,18,21.9118004,2018-04-08 03:28:42+00,2018-11-21 09:18:31.696+00,1600.5,1600.5,92.5832845,-1.2532685,0.0002777769253842,6.881506224674e-07,6.881506224674e-07,-0.0002777769253842,92.5832845,-1.2532685,92.13771818,-0.80991082,93.02664834,-0.80770918,93.02900169,-1.69655039,92.13976978,-1.69875278,2019-05-08 00:00:00+00,-1,139559428
30,16,409,11,1,40,1,zg,409120140,23,21.9125996,2018-02-19 03:12:49+00,2018-11-18 10:25:59.131+00,1600.5,1600.5,92.5815157,-1.2597471,0.0002777769291093,6.866452805967e-07,6.866452805967e-07,-0.0002777769291093,92.5815157,-1.2597471,92.13595107,-0.81638681,93.02488267,-0.81418999,93.02723198,-1.7030312,92.13799708,-1.70522878,2019-05-08 00:00:00+00,-1,139559367
31,16,409,7,1,24,1,zg,409120124,24,21.8731995,2018-02-19 03:12:49+00,2018-11-21 07:40:15.194+00,1600.5,1600.5,92.5835338,-3.1759458,0.0002777765109958,8.389077133781e-07,8.389077133781e-07,-0.0002777765109958,92.5835338,-3.1759458,92.13726393,-2.7327717,93.0271152,-2.73008843,93.03018682,-3.61892746,92.13956925,-3.62161304,2019-05-08 00:00:00+00,-1,139559389
32,16,409,11,4,43,2,zr,409120243,19,21.8700008,2018-04-08 03:28:42+00,2018-11-26 10:05:30.018+00,1600.5,1600.5,92.5853757,-2.1180287,0.0002777770560376,6.332189637962001e-07,6.332189637962001e-07,-0.0002777770560376,92.5853757,-2.1180287,92.13975126,-1.67455679,93.02897258,-1.67253113,93.0312553,-2.56137253,92.14152366,-2.56339935,2019-05-08 00:00:00+00,-1,139559416
33,16,409,7,4,27,1,zg,409120127,25,21.8917999,2018-02-19 03:12:49+00,2018-11-21 07:40:15.194+00,1600.5,1600.5,92.5858538,-4.0426576,0.0002777767929746,7.396701476921e-07,7.396701476921e-07,-0.0002777767929746,92.5858538,-4.0426576,92.13936907,-3.59929805,93.02996583,-3.59693247,93.03282702000001,-4.48577221,92.14125328,-4.48814038,2019-05-08 00:00:00+00,-1,139559369
